1,georgia zemanek's Collection,I LOVE ALL ANIMALS AND CREATURES,20/01/12 9:46,87,Thorny Devil,Moloch horridus,"The Thorny Devil, <i>Moloch horridus</i>, is one of 28 species of dragon that occur in Queensland. It grows to about 20 centimetres in length and lives for about 20 years, feeding exclusively on ants. It is highly camouflaged, changing its colour depending on whether it is hot or cold. Covered in thorny, conical spikes and minute channels, the Thorny Devil's armoured skin directs water to its mouth. The Thorny Devil also has a hump on the back of its neck that acts as a 'false head'.  It protects its real head by presenting this to predators.",,moloch_horridus_nv828_gc.jpg,,
1,georgia zemanek's Collection,I LOVE ALL ANIMALS AND CREATURES,20/01/12 9:46,98,Grey Huntsman Spider,Holconia immanis,"One of Australia's largest spiders, these magnificent creatures easily span an average human hand. In nature, they emerge from under the bark of trees at night and hunt on these expansive vertical surfaces with great agility. The spiders have easily adapted to our houses and are attracted onto roughly idling vehicles (e.g. diesel 4WD cars) where they run on the inside of the windscreen as the car picks up speed. Here the panic and fear set up by their large size and apparently erratic behaviour often causes accidents. Nevertheless, they tend not to bite so readily as other Huntsmen.",,Holconia_immanis_pk200.tif,,
1,georgia zemanek's Collection,I LOVE ALL ANIMALS AND CREATURES,20/01/12 9:46,106,Coxen's Double-eyed Fig-parrot,Cyclopsitta diophthalma coxeni,"The decline of the critically endangered Coxen's Double-eyed Fig-parrot, a subspecies of the eastern Australian Double-eyed Fig-parrot, was first reported in the early 1920s. These small green birds were once abundant in the Gympie region, Blackall Range, Enoggera and in the Brookfield Scrubs, where local rainforests were rich with native figs. Clearing of the fig-filled lowland rainforests of south-east Queensland and northern New South Wales has had a devastating impact on the population of this species. It is listed as endangered, not only by the Queensland and New South Wales Governments, but also under the Commonwealth Environment Protection and Biodiversity Conservation Act.",,Coxens_Fig_Parrot.jpg,,
1,georgia zemanek's Collection,I LOVE ALL ANIMALS AND CREATURES,20/01/12 9:46,118,Ulysses Butterfly,Papilio ulysses,"The Ulysses Butterfly is one of the iconic insects of north Queensland. It is restricted to rainforest and is especially common in the wet mountains. In flight it is visible from hundreds of metres away as a series of bright blue flashes. When resting with its dark brown wing undersides showing it is very difficult to detect amongst the deep shadows of the rainforest. Male Ulysses Butterflies are attracted to blue objects, mistaking them for a female. Try wearing a bright blue hat in the north Queensland rainforest and you may be lucky enough to entice a male down.",,papilio_ulysses_nu309_jw_LC_etched.jpg,,
2,pip kelly's Collection,hoops told me to,20/01/12 10:06,149,Bob Marley Sponge,Pipestela candelabra,"Named the 'Bob Marley Sponge' (resembling dreadlocks), this new species of a new genus, discovered in 2008, is one of the most widely-distributed sponge species on the Great Barrier Reef, extending into Papua New Guinea, Solomon Islands and Vanuatu. Finding such a common animal widely spread across the Great Barrier Reef in a new genus clearly tells us how little we still know of even our shallow coastal waters. This species was found to have new tripeptide chemicals which are now in preclinical development for cancer treatment.",,Pipestela_candelabra_G322938_undw.jpg,,cOOL NAME!
3,nejmere's Collection,memory  of qm 150,20/01/12 10:32,40,Ericofon telephone,,"The Ericofon was a revolutionary design. It combined the dial and handset in one streamlined unit for the first time. Manufactured by Ericsson from the late 1950s until the 1970s, the Ericofon was available in a range of fashion colours and was marketed primarily to female consumers. It was popularised in Australia by its regular use in the local television show <i>Homicide</i>. ",H26975,db4818,,
3,nejmere's Collection,memory  of qm 150,20/01/12 10:32,42,Pineapple peeler,,"Pineapples are synonymous with the tropical produce of Queensland. In 1971 Brisbane resident, Ray Ashdown, watched his wife skin a pineapple before slicing it. Convinced there was a better way, he devised this prototype pineapple peeler. Ray took his prototype to the ABC Inventors programme, where it was featured in 1970. After an enthusiastic response it was developed, patented, manufactured and sold worldwide with the slogan 'makes eating pineapple a real pleasure'. The final product was made with yellow plastic. It made a colourful and useful addition to Queensland kitchen drawers.",H22737,DB4886,,
3,nejmere's Collection,memory  of qm 150,20/01/12 10:32,48,Peter Beattie's dragon statue,,"One of a pair, this Chinese dragon statue was presented to former Queensland Premier Peter Beattie by the Chinese community of Queensland. During his time as premier, Beattie embraced the multicultural nature of Queensland society and held a clear stance against racism.  This gift was given in recognition of his views. Beattie was elected to Parliament as the Member for Brisbane Central in 1989.  He became leader of the Labor Party in 1996 and premier of Queensland in 1998.  Beattie identified this pair of dragon statues as one of the most evocative gifts he received during his time as premier. ",H25561,db5074,,
4,spiderman1's Collection,they make great hors d?euvres,20/01/12 18:43,61,Cooloola Monster,Cooloola propator,"In 1976 Queensland Museum scientists discovered a bizarre cricket-like beast in the Cooloola region north of Brisbane. They dubbed it the Cooloola monster. Officially named <i>Cooloola propator</i> in 1986, the Cooloola monster caused quite a stir in the insect world. It was so strange it needed a group of its own - Cooloolidae - the first new family of crickets or grasshoppers for nearly 100 years. Females are large and fat and live entirely underground, while males surface on rainy nights to search for a mate. In the 20 years since the Cooloola monster was discovered, three more species have been described in Queensland.",,cooloola_pearsoni_nm700_jw.tif,,we found these when we dug a bush toilet
4,spiderman1's Collection,they make great hors d?euvres,20/01/12 18:43,60,Barred cockroach,Cosmozosteria subzonata,"Australia has more than 400 cockroach species living in the bush. One of these is the Barred Cockroach, common in sandy coastal areas from Gladstone, Queensland, to northern New South Wales. Adult Barred Cockroaches are a dark reddish-brown with a very conspicuous yellow edge around the body and three yellow bars across the thorax. Most cockroaches are nocturnal, but the Barred Cockroach forages on the ground during the day time. Its bold colour pattern is a warning to predators as it releases copious amounts of a smelly secretion when threatened.",,cosmozosteria_subzonata_pj968_jw.tif,,these are atracted to idling 4WD diesel cars and they are great food
