1,Joy Toy teddy bear,,"In the early 1920s George Kirby established Joy Toys, the first Australian company to mass-produce toys.  Joy Toys made teddy bears, wooden toys and cloth dolls, based on traditional European and British designs, in their South Yarra factory, Victoria. This Joy Toy teddy bear was donated to the Queensland Museum in 2006.  While the exact date of manufacture is unknown, its articulated neck, shoulder and hips indicate it was manufactured before 1960.",H44565,db4630,
2,Prickly pear singeing machine,,"Prickly pear was introduced into Australian gardens from South America in the 1830s. In Queensland it grew quickly and farmers used it as a hedge to fence in farmland. They also used it as cattle fodder, and this machine was designed to singe the prickles off so the cattle could eat it safely. Unknowingly, by feeding it to their cattle, the farmers helped the plant to spread rapidly until it became a major pest. In the 1920s the Cactoblastis moth <i>Cactoblastis cactorum</i> was set loose and within six years it solved one of Australia's biggest introduced pest problems.",H14375,PW520,
3,Fire Brigade quadricycle,,"Used by the New Farm Volunteer Fire Brigade, this red, four-wheeled vehicle was built in 1912 by Howards Ltd.  The Fire Brigade quadricycle carried a box for fire fighting equipment and an attachment for towing a hand reel hose cart. The New Farm Volunteer Fire Brigade was established in 1889 in Moray Street. Originally equipped with just two hand-drawn hose reels, the Brigade eventually built a tall lookout tower and station, complete with a loud bell to rouse their members in event of a fire. The Brigade disbanded in 1923, one year after members started receiving payment for their efforts.  ",H1931,ob468 ??,
4,Dinmore water filter,,"This water filter, complete with lid, dripstone filters and brass tap, was manufactured by the Dinmore Brick & Tile Company in 1888 for John Simmonds. Simmonds, an English stonemason, arrived in Brisbane in 1880, establishing the J. Simmonds Monumental Works in Ann Street soon after. This 8 gallon, barrel-shaped filter, made for sale in his shop, was fitted with dripstone filters made by Simmonds. Dinmore Brick & Tile Company was formed in 1884 by a group of Brisbane investors. Based in Ipswich, it was a major supplier of domestic pottery until it closed during World War 1.",H12456, dinmore_b_and_t_water_filter_042_ph796.jpg (PH796),
5,Cane knife,,"This cane knife belonged to Don Low, a cane farmer from Yandina on the Sunshine Coast.  Since the mid-19th century, sugarcane has been farmed all along the Queensland coast. Cane was harvested by hand using long-handled knives like this one.  In the 19th century this hot, dirty, backbreaking work was often performed by recruited South Sea Islanders, who in many cases had been misled about conditions in Australia or forced here against their will. They were soon to be replaced by European migrant workers. Nowadays mechanised cane harvesters perform the work of cane cutters, resulting in larger farms and fewer jobs.",H27708,db4915,
6,Longcase clock ,,"This longcase clock case was made by John Mason and the eight-day clock with movement made by the Swiss manufacturing firm 'Tegus'. This case includes about 10,000 pieces of timber and took about 18 months to complete. All the timber was procured in the Maryborough and Dundowran districts. John Mason was born in Maryborough where he served his apprenticeship in cabinet-making with Popp Bros. In 1907-29 he taught cabinet-making at the Maryborough Technical College, while continuing to work part-time for the Popp firm. His most spectacular pieces of furniture were made in his spare time for his own family, using local timbers in inlay patterns of his own design. ",H8453,pw516,
7,Omnibus,,This double-decker horse-drawn bus was made in the 1890s and used in the Chermside-Windsor area between 1912 and 1915. Four to six horses pulled the bus.,H8062.1,PW552 ??,
8,X-Ray tube ,,"This is an extremely rare and fine example of early X-ray technology. The cathode X-ray tube was amongst the first pieces of radiological equipment ever developed. The cathode, being concave, focuses an electron beam to a small spot on the anticathode. This excites atoms in the anticathode, which relax by emitting X-ray photons. X-rays emerge from the side of the tube and since they emanate from a small spot on the anticathode, X-ray images are sharp. The glass becomes discoloured due to radiation damage. Tubes of this kind were used in medicine and for further X-ray experimentation.",H22579,pw716 ??,
9,Milk jug cover,,"This milk jug cover, made from white synthetic netting mounted onto a padded satin base, was made and exhibited by Mrs Mary Dwyer in the 1960s. Mary Elizabeth Dwyer nee Hogan (1894-1993) of Wetalla, north of Toowoomba began her show career in 1930 and over the next 40 years earned enough in prize money to educate her three sons for professional careers. Mrs Dwyer excelled at eyelet embroidery, shadow work, applique and satin stitch, achieving a 'fairy fineness' that can be further appreciated with the help of a magnifying glass.",H26840,n/a,
10,Aviator goggles ,,"Made circa 1917, this pair of aviator goggles belonged to Squadron Leader Herbert John Louis Hinkler, better known as Bert Hinkler. Born in Bundaberg, Hinkler was a pioneer of Australian aviation. He served in the Royal Naval Air Service and RAF in Europe during World War 1, earning a Distinguished Service Medal. Hinkler is recognised as the first person in history to complete a solo flight from England to Australia, a record he accomplished in 1928. In 1931, Hinkler became the first person to fly solo across the South Atlantic. ",H43683,goggles_v1.jpg,
11,Jardine family cannon ,,"This cannon, or swivel gun, was recovered from a gully within Bertiehaugh Station, an expansive cattle property in northern Queensland established by Frank Jardine in 1886-7, which was home to the Tepathighi people. In 1893, newspapers reported conflicts between Aboriginal locals and native police and farm workers in the area, naming the conflict 'The Battle of Bertie Haugh'. A 12-inch swivel gun, perhaps this one, was reported as an item in the Bertiehaugh Station armoury. Many outback stations in Queensland kept weapons like these during the period of frontier violence that forms a significant part of Queensland's rural and agricultural history.",H10505,db5079,
12,Bluebell Golden Honey Comb sample bag,,"This sample bag advertises Bluebell Golden Honeycomb, a product of Brisbane's Bell Confectionary Company. Show bags, with samples of the wares of many different manufacturers and organisations, have been a distinctive feature of the Royal Queensland Show (the Ekka) for many years. The Ekka is a 10 day annual festival and for the people of Brisbane it has been a major feature of the calendar for over 130 years, with many attending year after year. This bag is one of over 50 sample bags in the Queensland Museum collection.",H1875,db3697,
13,Election campaign poster - National Party,,"This poster was created in the 1970s to support Sir Johannes 'Joh' Bjelke-Petersen and the National Party in Queensland.  Sir Joh was the longest-serving Premier of Queensland, holding office from 1968 to 1987.  This was a period of unprecedented economic growth for Queensland, however Bjelke-Petersen's uncompromising conservatism polarised opinion.  His political longevity and his leadership of a government that, in its later years, was the subject of high-profile corruption inquiries made him one of the best-known political figures in 20th century Australia.",H22289,db5085,
14,Cloche-style hat ,,"This hat was designed in the 1960s for Mrs Cia Coronea by Patrick Ogilvie, who fashioned hats for women all over Queensland for 50 years. Ogilvie began his working life as an accountant but at 21 he trained and worked in millinery in Sydney before returning to Brisbane to begin his business in 1947. From 1948 he was based in fashionable Rowe's Arcade, Elizabeth St. In 1972 Ogilvie closed the Rowe's Arcade premises and moved to Indooroopilly. Ogilvie hats incorporated international fashion trends but more importantly, each hat was a one-off that matched the personality of its wearer.",H23326,db5830,
15,Harlequin hat ,,"This hat is part of a Harlequin costume worn in the World Expo 88 parades in Brisbane.  There were a number of Harlequins in the parade, with variations of the same costume. The parade, produced by Mike Mullins, ran twice daily for the duration of the Expo. The lunchtime parade featured floats of giant food items, while the evening parade was themed around fantasy. The floats were accompanied by a troupe of performers, called the Expo City Ensemble. After Expo 88, many of these costumes, including this harlequin hat, were sold to the Darling Harbour Authority and used in public entertainment at Darling Harbour, Sydney.",H42435,db5834,
16,Hollowed-out Bible ,,This Bible was hollowed out by a prisoner at Wacol Correctional Centre and used to conceal contraband. ,H45917,db7964,
17,A7V Sturmpanzerwagon 'Mephisto',,"This is the last surviving German War Tank from World War I. In 1917 the German Army produced 20 A7V Sturmpanzerwagens which were deployed in combat the following year. The vehicle known as Mephisto was immobilised in an area close to Villers-Bretonneux, France, called Monument Wood. On the night of 22 July 1918, a detachment of soldiers from the 26th Battalion, mainly comprised of Queenslanders, recovered the abandoned tank. Mephisto was shipped to England in January 1919 before being sent to Queensland as a war trophy. The tank arrived at Brisbane's Norman Wharf aboard the <i>SS Armagh</i> in August 1919. It was towed to the Queensland Museum in Gregory Terrace.",H4598,mephisto.tif,
18,Lumiere Cinematographe,,"The Lumiere Cinematographe, invented in France in 1894, was a portable projector, camera and film processor in one. It was invented by brothers Auguste and Louis Lumiere. There are only 12 known examples of the Cinematographe in the world today. Three are in Australia, of which this is the only one still in operating condition. It was acquired by the Queensland Department of Agriculture and Stock in 1899 and was used by the Department's artist and photographer Frederick Charles Wills and his assistant Henry William Mobsby. The 43 surviving reels of film from Wills and Mobsby comprise the largest collection of Australian film still in existence.",H838.1-4,db2445,
19,Election card - Neville Bonner,,"Neville Bonner was the first Aboriginal person in Federal Parliament, representing Queensland as a Liberal Party Senator. He campaigned for Aboriginal rights and was a respected Elder working with the Jagera people around Brisbane.",QE14598,db5046,
20,Ellis Rowan painting - Giant Waterlily ,,"Ellis Rowan was one of Australia's most celebrated botanical artists. An adventurous, emancipated woman, she trekked to remote parts of Australia and New Guinea in search of subjects to paint. She found the tropical flowers 'more beautiful than all' and made six visits to Queensland between the years 1887 and 1913. This painting is one of a collection of 125 paintings acquired in 1912 by the Queensland Government from the artist's exhibition in Brisbane. It features the Giant Petaltail Dragonfly with the Giant Waterlily (<i>Nymphaea pubescens</i>), found in Queensland and parts of New Guinea.",H20461.64,,
21,Ellis Rowan painting - Elegant Palm ,,"Ellis Rowan was one of Australia's most celebrated botanical artists. An adventurous, emancipated woman, she trekked to remote parts of Australia and New Guinea in search of subjects to paint. She found the tropical flowers 'more beautiful than all' and made six visits to Queensland between the years 1887 and 1913. This painting is one of a collection of 125 paintings acquired in 1912 by the Queensland Government from the artist's exhibition in Brisbane. It features <i>Ptychosperma elegans</i>, a palm native to north Queensland and the Northern Territory.",H20461.98,,
22,"Ellis Rowan painting - \
 Ulysses Butterfly",,"Ellis Rowan was one of Australia's most celebrated botanical artists. An adventurous, emancipated woman, she trekked to remote parts of Australia and New Guinea in search of subjects to paint. She found the tropical flowers 'more beautiful than all' and made six visits to Queensland between the years 1887 and 1913. This painting is one of a collection of 125 paintings acquired in 1912 by the Queensland Government from the artist's exhibition in Brisbane.",H20461.107,,
23,Richard Daintree photograph ,,"This hand-coloured photograph was taken by geologist and photographer Richard Daintree in the mid to late 19th century. It shows travellers taking a rest on the old Gympie Road, north of Brisbane, with one of the Glasshouse Mountains (Mount Coonowrin) in the background. Daintree was responsible for opening up goldfields in the late 1860s in north Queensland, and headed up the Queensland geological survey from 1868-1870. Throughout his time in Queensland he took many photographs of the landscape and geology of the state. Taken in often difficult conditions using the cumbersome wet plate photographic process, this and other photographs by Daintree provide a vivid picture of early European settlement in Queensland.",H26914,,
24,Monarch typewriter,,"This Monarch Visible Typewriter was built around 1900 by the Monarch Typewriter Company, a subsidiary of the Union Typewriter Company of Syracuse, New York. Very few, if any, typewriters were made in Queensland at this time. This 'visible' typewriter was revolutionary in that it allowed the print to be immediately seen by the typist as it was entered - a vast improvement over its 'blind' predecessors.",H9476,pw530,
25,Golden Casket lottery balls ,,"The first Golden Casket lottery was conceived by the Queensland Patriotic Fund to raise funds for World War 1 veterans, and was first drawn on 14 June 1917. First prize was a casket of gold worth 5,000 Pounds (the equivalent of 30 years' salary), since cash prizes were not permitted by law. The Queensland Government took over Golden Casket in 1920 and within one year, Golden Casket was raising two per cent of the Queensland Government's total budget. On 29 June 2007 Golden Casket Lottery Corporation became a wholly owned subsidiary of Tattersall's Limited.",H22487,DA8791,
26,Theodolite ,,"A theodolite is an optical precision instrument used primarily by surveyors to measure horizontal and vertical angles. This theodolite was owned by explorer and Queensland's first surveyor-general Sir Augustus Charles Gregory. Gregory and his family emigrated from England to the newly-established Swan River Colony in Western Australia in 1829 and Gregory became a cadet surveyor for the Western Australian Government. In 1859 he was appointed Queensland's commissioner for crown lands and first surveyor-general, the most powerful civil servant in Queensland of the time. After retiring in 1872, Gregory pursued his interests in scientific research as a trustee of the Queensland Museum from 1876-99.       ",H28314,db2167,
27,Olive Ashworth's suitcase,,"This suitcase was used by Queensland designer Olive Marie Ashworth (1915-2000) when she travelled throughout north Queensland gathering information and inspiration for her award-winning work. Ashworth opened her own art studio, Olive Ashworth Publicity Services, in Brisbane in 1945. For the next 20 years, she produced paintings, murals and designs for motels, hotels and restaurants. Ashworth's most successful works were her vibrant textile pieces inspired by Queensland's tropical and underwater beauty. This suitcase features tourist stickers from the various locations Ashworth visited during her travels.",H41601,db2421,
28,Kerosene tin watering can,,"This homemade watering can represents the tradition of 'making do' -- reusing materials in times of financial hardship or geographical isolation, particularly in the creation of tools and household furniture. The reuse of kerosene packing crates and kerosene tins was common in the Queensland bush, particularly in the Great Depression of the 1930s. This item has been made using a kerosene can and supplementary metal and wire for the handles and spout. It has been painted yellow, suggesting pride was taken in its creation and use.",H25216,db2431,
29,Cotton-reel bookshelf,,"This bookshelf is an example of how Queenslanders creatively reused materials to fulfil household requirements without spending money. The use of recycled materials as improvised furniture was common in the Queensland bush, particularly in the 1930s Great Depression. This item has been made using wooden planks and cotton reels, held together with wire and nails. Some of the wooden planks have indistinct text printed on them, indicating they were formerly parts of a packing box. The shelving has been painted blue, suggesting pride was taken in its creation and use.",H26644,db2438,
30,Prickly pear poison ,,"Prickly pear was introduced in Australia from South America as an ornamental and hedging plant and as food for the mealy bugs (<i>Dactylopius</i> species) that produced cochineal, a sought-after red dye. Prickly pear particularly loved living in Queensland. By 1900 impenetrable thickets of the plant had ruined millions of hectares of farmland. Various attempts were made to control it, including the injection of poisons such as arsenic, common salt and caustic soda. The patented Demon Lancspray came onto the market about 1922 and included this pressurised tank for storing poison.",H18349,db2442,
